Graph,n_nodes,n_edges,min_degree,max_degree,av_degree,clustering_cof,assortativity,av_path_length,diameter
256_4_4_2_15_18_p.net,256,2274,15,23,17.7656,0.749,0.0286,2.7821,5
256_4_4_4_13_18_p.net,256,2299,10,25,17.9609,0.506,0.0007,2.6511,4
BA1000.net,1000,3990,4,115,7.98,0.037,-0.0542,3.1833,5
ER1000k8.net,1000,3956,1,17,7.912,0.007,-0.0168,3.5698,6
ER5000k8.net,5000,19980,4,17,7.992,0.001,-0.0555,4.3797,6
homorand_N1000_K4_0.net,1000,2000,4,4,4.0,0.003,,5.64,9
homorand_N1000_K6_0.net,1000,2994,5,6,5.988,0.005,0.1919,4.1913,6
rb125.net,125,410,4,100,6.56,0.831,-0.173,2.3032,4
SF_1000_g2.5.net,1000,1905,2,30,3.81,0.011,0.02,4.6149,10
SF_1000_g2.7.net,1000,1668,2,24,3.336,0.009,-0.002,5.4688,12
SF_1000_g3.0.net,1000,1517,2,26,3.034,0.005,-0.0085,5.9651,13
SF_500_g2.7.net,500,859,2,22,3.436,0.01,-0.0256,4.8759,12
ws1000.net,1000,3000,3,13,6.0,0.009,-0.0999,4.0913,6
ws2000.net,2000,6000,3,13,6.0,0.005,-0.0762,4.5111,7
airports_UW.net,3618,14142,1,250,7.8176,0.497,0.0462,4.4396,17
dolphins.net,62,159,1,12,5.129,0.257,-0.0436,3.357,8
PGP.net,10680,24316,1,205,4.5536,0.274,0.2382,7.4855,24
zachary_unwh.net,34,78,1,17,4.5882,0.575,-0.4756,2.4082,5
20x2+5x2.net,50,404,4,22,16.16,0.977,0.9186,2.3878,4
circle9.net,9,9,2,2,2.0,0.0,,2.5,4
graph3+1+3.net,7,8,2,3,2.2857,0.67,-0.6,2.1905,4
graph4+4.net,8,13,3,4,3.25,0.862,-0.0833,1.8571,3
grid-p-6x6.net,36,72,4,4,4.0,0.0,,3.0857,6
rb25.net,25,66,4,20,5.28,0.889,-0.1635,2.0333,4
star.net,9,8,1,8,1.7778,0.0,-1.0,1.7778,2
wheel.net,9,16,3,8,3.5556,0.623,-0.3333,1.5556,2
