Graph,n_nodes,n_edges,min_degree,max_degree,av_degree,clustering_cof,assortativity,av_path_length,diameter
toy/circle9.net,9,9,2,2,2.0,0.0,,2.5,4
toy/star.net,9,8,1,8,1.7778,0.0,-1.0,1.7778,2
toy/graph3+1+3.net,7,8,2,3,2.2857,0.659,-0.6,2.1905,4
toy/grid-p-6x6.net,36,72,4,4,4.0,0.0,,3.0857,6
model/homorand_N1000_K4_0.net,1000,2000,4,4,4.0,0.002,,5.64,9
model/ER1000k8.net,1000,3956,1,17,7.912,0.009,-0.0168,3.5698,6
model/SF_1000_g2.7.net,1000,1668,2,24,3.336,0.003,-0.002,5.4688,12
model/ws1000.net,1000,3000,3,13,6.0,0.005,-0.0999,4.0913,6
real/zachary_unwh.net,34,78,1,17,4.5882,0.598,-0.4756,2.4082,5
real/airports_UW.net,3618,14142,1,250,7.8176,0.491,0.0462,4.4396,17
